portfolio_name,grid_type,Sharpe Ratio,Maximum Drawdown,composite_score,is_pareto
Grid_019,Original,0.7046579768494433,-0.2713234554955998,0.7924466134281235,True
Grid_021,Original,0.704472206952163,-0.2727920063212884,0.7923121688475502,False
Grid_020,Original,0.7044315557167283,-0.2707653531363327,0.7922897929423007,True
Grid_018,Original,0.7041306166775703,-0.2687490677035201,0.7920851844711886,True
Grid_017,Original,0.7040147231238363,-0.2693147351000883,0.7920023619813851,False
TreasuryGrid_015,Treasury Term,0.7035732392281681,-0.2667431589022318,0.791701037983011,True
TreasuryGrid_014,Treasury Term,0.7031232513803986,-0.2673163934163066,0.7913843267860301,False
Grid_016,Original,0.7030592434694085,-0.2698835049373214,0.791331819913774,False
Grid_011,Original,0.7027640242226114,-0.2647476356140403,0.7911405740489859,True
Grid_010,Original,0.701989044841838,-0.2653284393299349,0.7905963460712968,False
TreasuryGrid_034,Treasury Term,0.7019576549768558,-0.273522455730032,0.7905497911166088,False
TreasuryGrid_013,Treasury Term,0.7018519331140493,-0.2678927296213415,0.7904926749909704,False
Grid_006,Original,0.7017082793985264,-0.2627625067226918,0.7904075080588004,True
TreasuryGrid_032,Treasury Term,0.7015469030339239,-0.2715050688817441,0.7902683169171014,False
TreasuryGrid_035,Treasury Term,0.7013939295670252,-0.272971308989916,0.7901568367699479,False
TreasuryGrid_033,Treasury Term,0.7013330193905097,-0.2709463616604754,0.7901202744883753,False
TreasuryGrid_036,Treasury Term,0.7011909446849021,-0.27500661098267,0.7900086414464833,False
Grid_030,Original,0.7010113574077707,-0.2689317778740104,0.7899011548518173,False
TreasuryGrid_031,Treasury Term,0.7009034942395821,-0.2720668778663624,0.7898162453341083,False
Grid_029,Original,0.7008827955887394,-0.2694980476512016,0.7898094627691639,False
