Asset_Number,Asset_Description,Grid_109,Grid_110,Grid_111
1,US Equities - US Stock Market,24.750000000000004,23.375,22.000000000000004
2,Foreign Developed Equities - Intl Developed ex-US Market,15.75,14.875,13.999999999999998
3,Emerging Market Equities - Emerging Markets,4.499999999999999,4.249999999999999,4.0
4,US Treasuries - Intermediate Term Treasury,20.0,20.0,20.0
5,TIPS - Inflation-Protected Bonds,20.0,20.0,20.0
6,Corporate Bonds - Investment Grade Corporate Bonds,9.999999999999998,9.999999999999998,9.999999999999998
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
