Asset_Number,Asset_Description,Grid_355,Grid_356,Grid_357
1,US Equities - US Stock Market,31.25,30.000000000000004,28.750000000000004
2,Foreign Developed Equities - Intl Developed ex-US Market,13.750000000000002,13.200000000000005,12.650000000000002
3,Emerging Market Equities - Emerging Markets,17.5,16.800000000000004,16.1
4,US Treasuries - Intermediate Term Treasury,16.249999999999996,16.249999999999996,16.249999999999996
5,TIPS - Inflation-Protected Bonds,12.999999999999998,12.999999999999998,12.999999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,3.2499999999999987,3.2499999999999987,3.2499999999999987
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
