Asset_Number,Asset_Description,Grid_253,Grid_254,Grid_255
1,US Equities - US Stock Market,34.37500000000001,33.00000000000001,31.625000000000007
2,Foreign Developed Equities - Intl Developed ex-US Market,12.500000000000004,12.000000000000002,11.500000000000002
3,Emerging Market Equities - Emerging Markets,15.625,15.0,14.374999999999998
4,US Treasuries - Intermediate Term Treasury,13.0,12.999999999999998,12.999999999999998
5,TIPS - Inflation-Protected Bonds,13.0,12.999999999999998,12.999999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,6.499999999999999,6.499999999999997,6.499999999999997
7,Real Estate/REITs - US REIT,5.000000000000001,7.5,10.0
