Asset_Number,Asset_Description,Grid_217,Grid_218,Grid_219
1,US Equities - US Stock Market,43.75,42.00000000000001,40.25
2,Foreign Developed Equities - Intl Developed ex-US Market,13.750000000000002,13.200000000000005,12.650000000000002
3,Emerging Market Equities - Emerging Markets,5.000000000000003,4.800000000000003,4.600000000000002
4,US Treasuries - Intermediate Term Treasury,10.075,10.075,10.075
5,TIPS - Inflation-Protected Bonds,14.95,14.95,14.95
6,Corporate Bonds - Investment Grade Corporate Bonds,7.474999999999997,7.474999999999997,7.474999999999997
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
