Asset_Number,Asset_Description,Grid_172,Grid_173,Grid_174
1,US Equities - US Stock Market,22.5,21.25,20.0
2,Foreign Developed Equities - Intl Developed ex-US Market,15.75,14.875,13.999999999999998
3,Emerging Market Equities - Emerging Markets,6.750000000000002,6.375,6.000000000000001
4,US Treasuries - Intermediate Term Treasury,15.5,15.5,15.5
5,TIPS - Inflation-Protected Bonds,20.0,20.0,20.0
6,Corporate Bonds - Investment Grade Corporate Bonds,14.499999999999996,14.499999999999996,14.499999999999996
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
