Asset_Number,Asset_Description,Grid_058,Grid_059,Grid_060
1,US Equities - US Stock Market,24.750000000000004,23.375,22.000000000000004
2,Foreign Developed Equities - Intl Developed ex-US Market,9.000000000000002,8.5,8.000000000000002
3,Emerging Market Equities - Emerging Markets,11.249999999999998,10.624999999999996,9.999999999999998
4,US Treasuries - Intermediate Term Treasury,20.0,20.0,20.0
5,TIPS - Inflation-Protected Bonds,23.0,23.0,23.0
6,Corporate Bonds - Investment Grade Corporate Bonds,6.999999999999998,6.999999999999998,6.999999999999998
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
