Asset_Number,Asset_Description,Grid_481,Grid_482,Grid_483
1,US Equities - US Stock Market,35.75,34.375,33.0
2,Foreign Developed Equities - Intl Developed ex-US Market,22.749999999999996,21.875,21.0
3,Emerging Market Equities - Emerging Markets,6.499999999999997,6.249999999999998,5.999999999999998
4,US Treasuries - Intermediate Term Treasury,9.3,9.3,9.3
5,TIPS - Inflation-Protected Bonds,13.800000000000004,13.800000000000004,13.800000000000004
6,Corporate Bonds - Investment Grade Corporate Bonds,6.8999999999999995,6.8999999999999995,6.8999999999999995
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
