Asset_Number,Asset_Description,Grid_259,Grid_260,Grid_261
1,US Equities - US Stock Market,34.37500000000001,33.00000000000001,31.625000000000007
2,Foreign Developed Equities - Intl Developed ex-US Market,12.500000000000004,12.000000000000002,11.500000000000002
3,Emerging Market Equities - Emerging Markets,15.625,15.0,14.374999999999998
4,US Treasuries - Intermediate Term Treasury,16.25,16.249999999999996,16.249999999999996
5,TIPS - Inflation-Protected Bonds,13.0,12.999999999999998,12.999999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,3.2499999999999996,3.2499999999999987,3.2499999999999987
7,Real Estate/REITs - US REIT,5.000000000000001,7.5,10.0
