Asset_Number,Asset_Description,Grid_193,Grid_194,Grid_195
1,US Equities - US Stock Market,43.75,42.00000000000001,40.25
2,Foreign Developed Equities - Intl Developed ex-US Market,12.5,12.000000000000002,11.500000000000002
3,Emerging Market Equities - Emerging Markets,6.250000000000003,6.000000000000003,5.750000000000003
4,US Treasuries - Intermediate Term Treasury,10.075,10.075,10.075
5,TIPS - Inflation-Protected Bonds,14.95,14.95,14.95
6,Corporate Bonds - Investment Grade Corporate Bonds,7.474999999999997,7.474999999999997,7.474999999999997
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
