Asset_Number,Asset_Description,Grid_400,Grid_401,Grid_402
1,US Equities - US Stock Market,45.49999999999999,43.75,42.0
2,Foreign Developed Equities - Intl Developed ex-US Market,12.999999999999998,12.5,12.0
3,Emerging Market Equities - Emerging Markets,6.500000000000002,6.250000000000003,6.000000000000002
4,US Treasuries - Intermediate Term Treasury,12.000000000000002,12.000000000000002,12.000000000000002
5,TIPS - Inflation-Protected Bonds,9.000000000000002,9.000000000000002,9.000000000000002
6,Corporate Bonds - Investment Grade Corporate Bonds,9.000000000000002,9.000000000000002,9.000000000000002
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
