Asset_Number,Asset_Description,Grid_538,Grid_539,Grid_540
1,US Equities - US Stock Market,32.49999999999999,31.25,30.0
2,Foreign Developed Equities - Intl Developed ex-US Market,14.3,13.750000000000002,13.2
3,Emerging Market Equities - Emerging Markets,18.2,17.5,16.8
4,US Treasuries - Intermediate Term Treasury,12.000000000000002,12.000000000000002,12.000000000000002
5,TIPS - Inflation-Protected Bonds,13.800000000000004,13.800000000000004,13.800000000000004
6,Corporate Bonds - Investment Grade Corporate Bonds,4.199999999999999,4.199999999999999,4.199999999999999
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
