Asset_Number,Asset_Description,Grid_007,Grid_008,Grid_009
1,US Equities - US Stock Market,31.5,29.75,27.999999999999996
2,Foreign Developed Equities - Intl Developed ex-US Market,9.000000000000002,8.5,8.000000000000002
3,Emerging Market Equities - Emerging Markets,4.500000000000002,4.250000000000001,4.000000000000002
4,US Treasuries - Intermediate Term Treasury,15.5,15.5,15.5
5,TIPS - Inflation-Protected Bonds,15.0,15.0,15.0
6,Corporate Bonds - Investment Grade Corporate Bonds,19.499999999999996,19.499999999999996,19.499999999999996
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
