Asset_Number,Asset_Description,Grid_565,Grid_566,Grid_567
1,US Equities - US Stock Market,32.49999999999999,31.25,30.0
2,Foreign Developed Equities - Intl Developed ex-US Market,22.749999999999996,21.875,21.0
3,Emerging Market Equities - Emerging Markets,9.75,9.375000000000002,9.000000000000002
4,US Treasuries - Intermediate Term Treasury,12.000000000000002,12.000000000000002,12.000000000000002
5,TIPS - Inflation-Protected Bonds,12.000000000000002,12.000000000000002,12.000000000000002
6,Corporate Bonds - Investment Grade Corporate Bonds,6.0,6.0,6.0
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
