Asset_Number,Asset_Description,Grid_463,Grid_464,Grid_465
1,US Equities - US Stock Market,35.75,34.375,33.0
2,Foreign Developed Equities - Intl Developed ex-US Market,14.3,13.750000000000002,13.2
3,Emerging Market Equities - Emerging Markets,14.949999999999994,14.374999999999996,13.799999999999995
4,US Treasuries - Intermediate Term Treasury,9.3,9.3,9.3
5,TIPS - Inflation-Protected Bonds,9.000000000000002,9.000000000000002,9.000000000000002
6,Corporate Bonds - Investment Grade Corporate Bonds,11.7,11.7,11.7
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
