Asset_Number,Asset_Description,Grid_550,Grid_551,Grid_552
1,US Equities - US Stock Market,32.49999999999999,31.25,30.0
2,Foreign Developed Equities - Intl Developed ex-US Market,14.3,13.750000000000002,13.2
3,Emerging Market Equities - Emerging Markets,18.2,17.5,16.8
4,US Treasuries - Intermediate Term Treasury,15.000000000000002,15.000000000000002,15.000000000000002
5,TIPS - Inflation-Protected Bonds,9.000000000000002,9.000000000000002,9.000000000000002
6,Corporate Bonds - Investment Grade Corporate Bonds,6.000000000000001,6.000000000000001,6.000000000000001
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
