Asset_Number,Asset_Description,Grid_529,Grid_530,Grid_531
1,US Equities - US Stock Market,32.49999999999999,31.25,30.0
2,Foreign Developed Equities - Intl Developed ex-US Market,14.3,13.750000000000002,13.2
3,Emerging Market Equities - Emerging Markets,18.2,17.5,16.8
4,US Treasuries - Intermediate Term Treasury,9.3,9.3,9.3
5,TIPS - Inflation-Protected Bonds,13.800000000000004,13.800000000000004,13.800000000000004
6,Corporate Bonds - Investment Grade Corporate Bonds,6.8999999999999995,6.8999999999999995,6.8999999999999995
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
