Asset_Number,Asset_Description,Grid_091,Grid_092,Grid_093
1,US Equities - US Stock Market,24.750000000000004,23.375,22.000000000000004
2,Foreign Developed Equities - Intl Developed ex-US Market,9.9,9.35,8.8
3,Emerging Market Equities - Emerging Markets,10.349999999999998,9.774999999999997,9.2
4,US Treasuries - Intermediate Term Treasury,25.0,25.0,25.0
5,TIPS - Inflation-Protected Bonds,20.0,20.0,20.0
6,Corporate Bonds - Investment Grade Corporate Bonds,4.999999999999999,4.999999999999999,4.999999999999999
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
