Asset_Number,Asset_Description,Grid_451,Grid_452,Grid_453
1,US Equities - US Stock Market,35.75,34.375,33.0
2,Foreign Developed Equities - Intl Developed ex-US Market,12.999999999999998,12.5,12.0
3,Emerging Market Equities - Emerging Markets,16.249999999999996,15.624999999999996,14.999999999999996
4,US Treasuries - Intermediate Term Treasury,15.000000000000002,15.000000000000002,15.000000000000002
5,TIPS - Inflation-Protected Bonds,12.000000000000002,12.000000000000002,12.000000000000002
6,Corporate Bonds - Investment Grade Corporate Bonds,3.0,3.0,3.0
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
