Asset_Number,Asset_Description,Grid_499,Grid_500,Grid_501
1,US Equities - US Stock Market,35.75,34.375,33.0
2,Foreign Developed Equities - Intl Developed ex-US Market,22.749999999999996,21.875,21.0
3,Emerging Market Equities - Emerging Markets,6.499999999999997,6.249999999999998,5.999999999999998
4,US Treasuries - Intermediate Term Treasury,15.000000000000002,15.000000000000002,15.000000000000002
5,TIPS - Inflation-Protected Bonds,12.000000000000002,12.000000000000002,12.000000000000002
6,Corporate Bonds - Investment Grade Corporate Bonds,3.0,3.0,3.0
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
