Asset_Number,Asset_Description,Grid_286,Grid_287,Grid_288
1,US Equities - US Stock Market,34.37500000000001,33.00000000000001,31.625000000000007
2,Foreign Developed Equities - Intl Developed ex-US Market,13.750000000000004,13.200000000000005,12.650000000000002
3,Emerging Market Equities - Emerging Markets,14.374999999999998,13.8,13.224999999999998
4,US Treasuries - Intermediate Term Treasury,16.25,16.249999999999996,16.249999999999996
5,TIPS - Inflation-Protected Bonds,9.75,9.749999999999998,9.749999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,6.5,6.499999999999999,6.499999999999999
7,Real Estate/REITs - US REIT,5.000000000000001,7.5,10.0
