Asset_Number,Asset_Description,Grid_364,Grid_365,Grid_366
1,US Equities - US Stock Market,31.25,30.000000000000004,28.750000000000004
2,Foreign Developed Equities - Intl Developed ex-US Market,21.875,21.000000000000004,20.125
3,Emerging Market Equities - Emerging Markets,9.375000000000002,9.000000000000002,8.625000000000002
4,US Treasuries - Intermediate Term Treasury,10.075,10.075,10.075
5,TIPS - Inflation-Protected Bonds,12.999999999999998,12.999999999999998,12.999999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,9.424999999999995,9.424999999999995,9.424999999999995
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
