Asset_Number,Asset_Description,Grid_466,Grid_467,Grid_468
1,US Equities - US Stock Market,35.75,34.375,33.0
2,Foreign Developed Equities - Intl Developed ex-US Market,14.3,13.750000000000002,13.2
3,Emerging Market Equities - Emerging Markets,14.949999999999994,14.374999999999996,13.799999999999995
4,US Treasuries - Intermediate Term Treasury,12.000000000000002,12.000000000000002,12.000000000000002
5,TIPS - Inflation-Protected Bonds,13.800000000000004,13.800000000000004,13.800000000000004
6,Corporate Bonds - Investment Grade Corporate Bonds,4.199999999999999,4.199999999999999,4.199999999999999
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
