Asset_Number,Asset_Description,Grid_256,Grid_257,Grid_258
1,US Equities - US Stock Market,34.37500000000001,33.00000000000001,31.625000000000007
2,Foreign Developed Equities - Intl Developed ex-US Market,12.500000000000004,12.000000000000002,11.500000000000002
3,Emerging Market Equities - Emerging Markets,15.625,15.0,14.374999999999998
4,US Treasuries - Intermediate Term Treasury,13.0,12.999999999999998,12.999999999999998
5,TIPS - Inflation-Protected Bonds,9.75,9.749999999999998,9.749999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,9.75,9.749999999999998,9.749999999999998
7,Real Estate/REITs - US REIT,5.000000000000001,7.5,10.0
