Asset_Number,Asset_Description,Grid_049,Grid_050,Grid_051
1,US Equities - US Stock Market,24.750000000000004,23.375,22.000000000000004
2,Foreign Developed Equities - Intl Developed ex-US Market,9.000000000000002,8.5,8.000000000000002
3,Emerging Market Equities - Emerging Markets,11.249999999999998,10.624999999999996,9.999999999999998
4,US Treasuries - Intermediate Term Treasury,15.5,15.5,15.5
5,TIPS - Inflation-Protected Bonds,23.0,23.0,23.0
6,Corporate Bonds - Investment Grade Corporate Bonds,11.499999999999996,11.499999999999996,11.499999999999996
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
