Asset_Number,Asset_Description,Grid_205,Grid_206,Grid_207
1,US Equities - US Stock Market,43.75,42.00000000000001,40.25
2,Foreign Developed Equities - Intl Developed ex-US Market,12.5,12.000000000000002,11.500000000000002
3,Emerging Market Equities - Emerging Markets,6.250000000000003,6.000000000000003,5.750000000000003
4,US Treasuries - Intermediate Term Treasury,12.999999999999998,12.999999999999998,12.999999999999998
5,TIPS - Inflation-Protected Bonds,12.999999999999998,12.999999999999998,12.999999999999998
6,Corporate Bonds - Investment Grade Corporate Bonds,6.499999999999997,6.499999999999997,6.499999999999997
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
