Asset_Number,Asset_Description,Grid_148,Grid_149,Grid_150
1,US Equities - US Stock Market,22.5,21.25,20.0
2,Foreign Developed Equities - Intl Developed ex-US Market,9.9,9.35,8.8
3,Emerging Market Equities - Emerging Markets,12.600000000000003,11.9,11.2
4,US Treasuries - Intermediate Term Treasury,15.5,15.5,15.5
5,TIPS - Inflation-Protected Bonds,20.0,20.0,20.0
6,Corporate Bonds - Investment Grade Corporate Bonds,14.499999999999996,14.499999999999996,14.499999999999996
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
