Asset_Number,Asset_Description,Grid_265,Grid_266,Grid_267
1,US Equities - US Stock Market,34.37500000000001,33.00000000000001,31.625000000000007
2,Foreign Developed Equities - Intl Developed ex-US Market,13.750000000000004,13.200000000000005,12.650000000000002
3,Emerging Market Equities - Emerging Markets,14.374999999999998,13.8,13.224999999999998
4,US Treasuries - Intermediate Term Treasury,10.075,10.075,10.075
5,TIPS - Inflation-Protected Bonds,14.950000000000005,14.95,14.95
6,Corporate Bonds - Investment Grade Corporate Bonds,7.474999999999998,7.474999999999997,7.474999999999997
7,Real Estate/REITs - US REIT,5.000000000000001,7.5,10.0
