Asset_Number,Asset_Description,Grid_010,Grid_011,Grid_012
1,US Equities - US Stock Market,31.5,29.75,27.999999999999996
2,Foreign Developed Equities - Intl Developed ex-US Market,9.000000000000002,8.5,8.000000000000002
3,Emerging Market Equities - Emerging Markets,4.500000000000002,4.250000000000001,4.000000000000002
4,US Treasuries - Intermediate Term Treasury,20.0,20.0,20.0
5,TIPS - Inflation-Protected Bonds,23.0,23.0,23.0
6,Corporate Bonds - Investment Grade Corporate Bonds,6.999999999999998,6.999999999999998,6.999999999999998
7,Real Estate/REITs - US REIT,5.0,7.5,10.0
